Station ID,Station,Longitude,Latitude,# of Docks,City
1,Kaivopuisto,24.950211471403104,60.155369615073994,30,Helsinki
2,Laivasillankatu,24.956509771585804,60.1609890692806,12,Helsinki
3,Kapteeninpuistikko,24.9450181631667,60.1581769029949,16,Helsinki
4,Viiskulma,24.9417758006418,60.1609858921764,14,Helsinki
5,Sepänkatu,24.936285300210198,60.157948291819,32,Helsinki
6,Hietalahdentori,24.9296476311878,60.162228389811204,24,Helsinki
7,Design Museum,24.9459599998806,60.16310319165999,14,Helsinki
8,Vanha kirkkopuisto,24.9391145483706,60.1653538465664,24,Helsinki
9,Erottajan aukio,24.944188760167304,60.1668948711694,44,Helsinki
10,Kasarmitori,24.9494728793816,60.165017172741,28,Helsinki
11,Unioninkatu,24.951022699402397,60.1674572921424,22,Helsinki
12,Kanavaranta,24.9584922784237,60.1684959040351,34,Helsinki
13,Merisotilaantori,24.9755284752387,60.1679190540567,24,Helsinki
14,Senate Square,24.9526414004662,60.16912779191179,22,Helsinki
15,Ritarikatu,24.9555218601895,60.1710906797301,12,Helsinki
16,Liisanpuistikko,24.961374699762803,60.1741821916183,16,Helsinki
17,Varsapuistikko,24.9494967766807,60.1730909028646,28,Helsinki
18,Porthania,24.9493081473109,60.1696567475916,30,Helsinki
19,Central Railway Station/East,24.942526799246203,60.1708235917114,20,Helsinki
20,Kaisaniemenpuisto,24.9433556359399,60.173234900127795,22,Helsinki
21,Töölönlahdenkatu,24.939307912995602,60.172190683752696,44,Helsinki
22,Central Railway Station/West,24.9397601000633,60.1706060919732,16,Helsinki
23,Kiasma,24.937427900074898,60.1712578922641,30,Helsinki
24,Mannerheimintie,24.9394194995361,60.1690723919948,20,Helsinki
25,Narinkka,24.934606982602602,60.1700420279259,40,Helsinki
26,Kamppi (M),24.9305373005364,60.168609492141,32,Helsinki
27,Eerikinkatu,24.9366415937527,60.1677057096398,14,Helsinki
28,Lastenlehto,24.9270362659605,60.1657993006509,16,Helsinki
29,Baana,24.9225706207902,60.164117372487105,16,Helsinki
30,Itämerentori,24.9145164996449,60.163530891859395,40,Helsinki
31,Maria Hospital,24.9227415692015,60.168322817999204,16,Helsinki
32,Finnish Museum of Natural History,24.931897512143102,60.1713588986588,20,Helsinki
33,Hanken School of Economics,24.923839759,60.171202903,16,Helsinki
34,National Museum,24.9328983153441,60.173956898526,16,Helsinki
35,Cygnaeuksenkatu,24.928268556848398,60.1741008716685,16,Helsinki
36,Apollonkatu,24.9224632983339,60.1760927790452,20,Helsinki
37,Töölönkatu,24.928352509447397,60.17753461913279,18,Helsinki
38,Töölöntori,24.924970052285104,60.179100517171705,16,Helsinki
39,Opera,24.9266869997467,60.182552891987,24,Helsinki
40,Hakaniemi (M),24.9522579797678,60.1780816347447,28,Helsinki
41,Ympyrätalo,24.949399999845,60.1808629918822,36,Helsinki
42,Haapaniemenkatu,24.9551952848707,60.1831601093456,18,Helsinki
43,Karhupuisto,24.9526762998375,60.18428329212,24,Helsinki
44,Sörnäinen (M),24.960554135,60.187712639,22,Helsinki
45,Brahen kenttä,24.9508131529517,60.186790288331096,20,Helsinki
46,Diakoniapuisto,24.9435409604638,60.1869040535812,16,Helsinki
47,Market Square,24.953568541114503,60.16528334270971,22,Helsinki
48,Mastokatu,24.967466816529303,60.164746497378104,22,Helsinki
49,Annankatu,24.9417379007102,60.163474924516294,16,Helsinki
50,Melkonkuja,24.8861093999757,60.1498126916296,12,Helsinki
51,Itälahdenkatu,24.8812501991249,60.150659991936905,12,Helsinki
52,Heikkilänaukio,24.879315899385,60.1540762917607,20,Helsinki
53,Heikkiläntie,24.8850653001728,60.156816991950905,12,Helsinki
54,Gyldenintie,24.876665799679397,60.1583841916575,36,Helsinki
55,Puistokaari,24.8620200832623,60.157874932879295,16,Helsinki
56,Luoteisväylä,24.8603118531172,60.1653590878524,12,Helsinki
57,Lauttasaari Shopping Center,24.882810362304202,60.16041534595261,26,Helsinki
58,Lauttasaarensilta,24.8899154000946,60.161185817308905,20,Helsinki
59,Salmisaarenranta,24.9009334858186,60.164784170294,28,Helsinki
60,Cable Factory,24.90279681,60.161252848000004,26,Helsinki
61,Länsisatamankatu,24.909692000659103,60.158927591706,16,Helsinki
62,Välimerenkatu,24.9162412896547,60.15929634149529,16,Helsinki
63,Jätkäsaarenlaituri,24.9214896008223,60.1619310923994,24,Helsinki
64,Tyynenmerenkatu,24.9203435489542,60.1568077714966,20,Helsinki
65,Hernesaarenranta,24.931197823783197,60.1535144787873,40,Helsinki
66,Ehrenströmintie,24.959212267726496,60.1552178275344,20,Helsinki
67,Perämiehenkatu,24.934065685135497,60.160087584362,16,Helsinki
68,Albertinkatu,24.936805044695202,60.1618574790512,20,Helsinki
69,Kalevankatu,24.9314215703651,60.1656801793916,16,Helsinki
70,Sammonpuistikko,24.9224112000483,60.173147292089396,14,Helsinki
71,Hietaniemenkatu,24.9076704246974,60.17333314698521,24,Helsinki
72,Eteläinen Hesperiankatu,24.915526161743603,60.175592661158895,18,Helsinki
73,Kesäkatu,24.91325039954,60.1792966924742,14,Helsinki
74,Rajasaarentie,24.911057902019202,60.183125805873395,16,Helsinki
75,Korjaamo,24.919883700552003,60.1838636970684,20,Helsinki
76,Olympic Stadium,24.924961245284,60.184493507518795,20,Helsinki
77,Nordenskiöldinaukio,24.917292425171198,60.185246109404105,16,Helsinki
