FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
1,501,Hanasaari, Hanaholmen,Hanasaari,Hanasaarenranta 1,Hanaholmsstranden 1,Espoo,Esbo,CityBike Finland,10,24.840319,60.16582
2,503,Keilalahti, Kägelviken,Keilalahti,Keilalahdentie 2,Kägelviksvägen 2,Espoo,Esbo,CityBike Finland,28,24.827467,60.171524
3,505,Westendinasema, Westendstationen,Westendinasema,Westendintie 1,Westendvägen 1,Espoo,Esbo,CityBike Finland,16,24.805758,60.168266
4,507,Golfpolku, Golfstigen,Golfpolku,Golfpolku 3,Golfstigen 3,Espoo,Esbo,CityBike Finland,16,24.796136,60.168143
5,509,Revontulentie, Norrskensvägen,Revontulentie,Revontulentie 10,Norrskensvägen 10,Espoo,Esbo,CityBike Finland,30,24.802938,60.171551
6,511,Sateentie, Regnvägen,Sateentie,Sateentie 2,Regnvägen 2,Espoo,Esbo,CityBike Finland,18,24.810688,60.173424
7,513,Hakalehto, Hagliden,Hakalehto,Merituulentie 18,Havsvindsvägen 18,Espoo,Esbo,CityBike Finland,24,24.79139,60.173567
8,515,Oravannahkatori, Gråskinnstorget,Oravannahkatori,Oravannahkatori 1,Gråskinnstorget 1,Espoo,Esbo,CityBike Finland,16,24.792559,60.175769
9,517,Länsituuli, Västanvinden,Länsituuli,Länsituulenkuja 3,Västanvindsgränden 3,Espoo,Esbo,CityBike Finland,24,24.802049,60.175358
10,518,Tuulimäki, Väderbacken,Tuulimäki,Itätuulenkuja 11,Östanvindsgränden 11,Espoo,Esbo,CityBike Finland,18,24.806051,60.174144
11,519,Tapionaukio, Tapioplatsen,Tapionaukio,Tapionaukio 9,Tapioplatsen 9,Espoo,Esbo,CityBike Finland,26,24.805825,60.176168
12,521,Kulttuuriaukio, Kulturplatsen,Kulttuuriaukio,Kulttuuriaukio 2,Kulturplatsen 2,Espoo,Esbo,CityBike Finland,30,24.803942,60.177588
13,523,Ahertajantie, Flitarvägen,Ahertajantie,Ahertajantie 1,Flitargränden 1,Espoo,Esbo,CityBike Finland,20,24.797984,60.17875
14,525,Mäntyviita, Tallbysket,Mäntyviita,Mäntyviita 2,Tallbysket 2,Espoo,Esbo,CityBike Finland,10,24.810974,60.178702
15,527,Otsolahti, Björnviken,Otsolahti,Otsolahdentie 18,Björnviksvägen 18,Espoo,Esbo,CityBike Finland,18,24.817423,60.178655
16,529,Keilaniemi (M), Kägeludden (M),Keilaniemi (M),Keilaniementie 4,Kägeluddsvägen 4,Espoo,Esbo,CityBike Finland,40,24.82895,60.175233
17,531,Keilaranta, Kägelstranden,Keilaranta,Keilaranta 13,Kägelstranden 13,Espoo,Esbo,CityBike Finland,24,24.835132,60.178762
18,532,Betonimies,Betongblandaren,Betonimies,Betonimiehenkuja 1,Betongblandargränden 1,Espoo,Esbo,CityBike Finland,16,24.831804,60.180027
19,533,Tekniikantie, Teknikvägen,Tekniikantie,Tekniikantie 3,Teknikvägen 3,Espoo,Esbo,CityBike Finland,18,24.824747,60.180806
20,537,Innopoli,Innopoli,Innopoli,Tekniikantie 14,Teknikvägen 14,Espoo,Esbo,CityBike Finland,20,24.81422,60.185096
21,538,Hagalundinpuisto,Hagalundinpuisto,Hagalundsparken,Tekniikantie 15,Teknikvägen 15,Espoo,Esbo,CityBike Finland,14,24.817403,60.18363
22,539,"Aalto-yliopisto (M), Tietot"," Aalto-universitetet (M),","Aalto University (M), Tietotie",Tietotie 4,Datavägen 4,Espoo,Esbo,CityBike Finland,20,24.820099,60.184987
23,541,"Aalto-yliopisto (M), Korkea"," Aalto-universitetet (M),","Aalto University (M), Korkeakoulua",Otaniementie 10,Otnäsvägen 10,Espoo,Esbo,CityBike Finland,42,24.826671,60.184312
24,543,Otaranta, Oststranden,Otaranta,Otaranta 6,Otstranden 6,Espoo,Esbo,CityBike Finland,22,24.837133,60.18483
25,545,Sähkömies, Strömkarlen,Sähkömies,Otakaari 3,Otsvängen 3,Espoo,Esbo,CityBike Finland,12,24.829985,60.188499
26,547,Jämeräntaival, Bistervägen,Jämeräntaival,Otakaari 18,Otsvängen 18,Espoo,Esbo,CityBike Finland,30,24.835033,60.188118
27,549,Maarinranta, Marstranden,Maarinranta,Maarinrannantie 4,Marstrandvägen 4,Espoo,Esbo,CityBike Finland,12,24.810193,60.187529
28,551,Tietäjä, Siaren,Tietäjä,Valkjärventie 4,Valkjärvivägen 4,Espoo,Esbo,CityBike Finland,20,24.807083,60.189143
29,553,Metsänneidonpolku, Skogsjungfrustigen,Metsänneidonpolku,Metsänneidonpolku 5,Skogsjungfrustigen 5,Espoo,Esbo,CityBike Finland,19,24.806152,60.186731
30,555,Kalevalantie, Kalevalavägen,Kalevalantie,Kalevalantie 7,Kalevalavägen 7,Espoo,Esbo,CityBike Finland,21,24.804022,60.184765
31,557,Louhentori, Louhitorget,Louhentori,Louhentie 16,Louhivägen 16,Espoo,Esbo,CityBike Finland,16,24.796959,60.18715
32,559,Pohjankulma, Norrhörnet,Pohjankulma,Louhentie 2,Louhivägen 2,Espoo,Esbo,CityBike Finland,25,24.794014,60.18288
33,561,Koivu-Mankkaa, Björkmankans,Koivu-Mankkaa,Urpu 6,Hänget 6,Espoo,Esbo,CityBike Finland,23,24.78576,60.182976
34,563,Mankkaanlaaksontie, Mankansdalsvägen,Mankkaanlaaksontie,Mankkaanlaaksontie 1,Mankansdalsvägen 1,Espoo,Esbo,CityBike Finland,26,24.780478,60.188706
35,565,Mankkaanaukio, Mankansplatsen,Mankkaanaukio,Mankkaantie 3,Mankasvägen 3,Espoo,Esbo,CityBike Finland,20,24.769021,60.194599
36,571,Tapiolan urheilupuisto, Hagalunds idrottspark,Tapiola Sports Park,Urheilupuistontie 3,Idrottsparksvägen 3,Espoo,Esbo,CityBike Finland,32,24.784654,60.177749
37,573,Urheilupuisto (M), Idrottsparken (M),Sports Park (M),Jousenpuistonkatu 4,Bågparksgatan 4,Espoo,Esbo,CityBike Finland,28,24.779428,60.17465
38,575,Tontunmäentie, Tomtekullavägen,Tontunmäentie,Tontunmäentie 25,Tomtekullavägen 25,Espoo,Esbo,CityBike Finland,16,24.769667,60.176107
39,577,Olarinluoma, Olarsbäcken,Olarinluoma,Olarinluoma 19,Olarsbäcken 19,Espoo,Esbo,CityBike Finland,18,24.760606,60.180848
40,579,Niittymaa, Ängsmalmen,Niittymaa,Niittymaantie 2,Ängsmalmsvägen 2,Espoo,Esbo,CityBike Finland,21,24.775913,60.171127
41,581,Niittykumpu (M), Ängskulla (M),Niittykumpu (M),Merituulentie 38,Havsvindsvägen 38,Espoo,Esbo,CityBike Finland,35,24.763184,60.170758
42,583,Haukilahdenkatu, Gäddviksgatan,Haukilahdenkatu,Ahventie 2,Abborrvägen 2,Espoo,Esbo,CityBike Finland,16,24.772708,60.166481
43,585,Haukilahdenaukio, Gäddviksplatsen,Haukilahdenaukio,Haukilahdenranta 2,Gäddviksstranden 2,Espoo,Esbo,CityBike Finland,16,24.775882,60.162396
44,587,Hauenkallio, Gäddberget,Hauenkallio,Hauenkalliontie 12,Gäddbergsvägen 12,Espoo,Esbo,CityBike Finland,12,24.767831,60.162477
45,589,Haukilahdenranta, Gäddviksstranden,Haukilahdenranta,Haukilahdenranta 13,Gäddviksstranden 13,Espoo,Esbo,CityBike Finland,16,24.769864,60.158048
46,591,Mellstenintie, Mellstensvägen,Mellstenintie,Mellstenintie 17,Mellstensvägen 17,Espoo,Esbo,CityBike Finland,25,24.773993,60.154941
47,593,Toppelundintie, Toppelundsvägen,Toppelundintie,Toppelundintie 11,Toppelundsvägen 11,Espoo,Esbo,CityBike Finland,12,24.782477,60.1591405
48,595,Westendintie, Westendvägen,Westendintie,Westendintie 34,Westendvägen 34,Espoo,Esbo,CityBike Finland,16,24.791754,60.158194
49,596,Toppelundinportti, Toppelundsporten,Toppelundinportti,Haukilahdenkatu 2,Gäddviksgatan 2,Espoo,Esbo,CityBike Finland,20,24.7848628,60.1624471
50,597,Linnakepolku, Fortstigen,Linnakepolku,Westendintie 99,Westendvägen 99,Espoo,Esbo,CityBike Finland,10,24.790132,60.1637
51,601,Nokkala,Nokkala,Nokkala,Nokkalanniemi 2,Nokkalaparken 2,Espoo,Esbo,CityBike Finland,18,24.754344,60.147974
52,603,Matinlahdenranta, Mattviksstranden,Matinlahdenranta,Rantamäki 2,Strandbacken 2,Espoo,Esbo,CityBike Finland,20,24.754196,60.151041
53,607,Nuottaniementie, Notuddsvägen,Nuottaniementie,Nuottatie 1,Notvägen 1,Espoo,Esbo,CityBike Finland,15,24.741546,60.147921
54,609,Sepetlahdentie, Sepetviksvägen,Sepetlahdentie,Sepetlahdentie 11,Sepetviksvägen 11,Espoo,Esbo,CityBike Finland,10,24.741234,60.152343
55,611,Matinkartanontie, Mattgårdvägen,Matinkartanontie,Matinkartanontie 2,Mattsgårdsvägen 2,Espoo,Esbo,CityBike Finland,21,24.752489,60.156258
56,613,Matinkyläntie, Mattbyvägen,Matinkyläntie,Joosepinkuja 1,Josefsgränden 1,Espoo,Esbo,CityBike Finland,15,24.744978,60.155689
57,615,Tiistiläntie, Distbyvägen,Tiistiläntie,Tiistiläntie 6,Distbyvägen 6,Espoo,Esbo,CityBike Finland,24,24.737664,60.156755
58,617,Tiistinkallio, Distberget,Tiistinkallio,Kalastajantie 29,Fiskarvägen 29,Espoo,Esbo,CityBike Finland,12,24.729112,60.153737
59,619,Etuniementie, Framnäsvägen,Etuniementie,Kalastajantie 6,Fiskarvägen 6,Espoo,Esbo,CityBike Finland,10,24.724835,60.160645
60,621,Hauenkalliontie, Gäddbergsvägen,Hauenkalliontie,Hauenkalliontie 22,Gäddbergsvägen 22,Espoo,Esbo,CityBike Finland,12,24.756272,60.161138
61,623,Nelikkotie, Fjärdingsvägen,Nelikkotie,Nelikkotie 14,Fjärdingsvägen 14,Espoo,Esbo,CityBike Finland,16,24.74663,60.161588
62,625,Suomenlahdentie, Finnviksvägen,Suomenlahdentie,Suomenlahdentie 2,Finnviksvägen 2,Espoo,Esbo,CityBike Finland,32,24.741294,60.160015
63,627,Piispansilta, Biskopsbron,Piispansilta,Piispansilta 11,Biskopsknuten 11,Espoo,Esbo,CityBike Finland,44,24.738416,60.162403
64,629,Piispanportti, Biskopsporten,Piispanportti,Piispanportti 4,Biskopsporten 4,Espoo,Esbo,CityBike Finland,16,24.732688,60.165603
65,631,Friisilänaukio, Frisansplatsen,Friisilänaukio,Friisiläntie 2,Frisansvägen 2,Espoo,Esbo,CityBike Finland,12,24.721367,60.162842
66,633,Avaruuskatu, Rymdgatan,Avaruuskatu,Avaruuskatu 1,Rymdgatan 2,Espoo,Esbo,CityBike Finland,16,24.724908,60.168971
67,635,Kuunkatu, Mångatan,Kuunkatu,Kuunkatu 3,Mångatan 3,Espoo,Esbo,CityBike Finland,24,24.726025,60.172673
68,637,Ruomelantie, Romensvägen,Ruomelantie,Ruomelantie 19,Romensvägen 19,Espoo,Esbo,CityBike Finland,12,24.729314,60.174524
69,639,Itäportti, Österporten,Itäportti,Ruomelantie 5,Romensvägen 5,Espoo,Esbo,CityBike Finland,18,24.738122,60.174914
70,641,Komeetankatu, Kometgatan,Komeetankatu,Komeetankatu 2,Kometgatan 2,Espoo,Esbo,CityBike Finland,16,24.735969,60.167216
71,643,Auringonkatu, Solgatan,Auringonkatu,Auringonkatu 2,Solbanan 2,Espoo,Esbo,CityBike Finland,20,24.731472,60.171548
72,645,Piispankallio, Biskopsberget,Piispankallio,Piispankallio 2,Biskopsberget 2,Espoo,Esbo,CityBike Finland,16,24.743532,60.168441
73,647,Lystimäki, Lustikulla,Lystimäki,Lystimäentie 2,Lustikullavägen 2,Espoo,Esbo,CityBike Finland,12,24.745666,60.172814
74,649,Lystimäensilta, Lustikullabron,Lystimäensilta,Vuosikuja 2,Årsgränden 2,Espoo,Esbo,CityBike Finland,15,24.752442,60.17471
75,651,Suurpellonaukio, Storåkersplatsen,Suurpellonaukio,Suurpellon puistokatu 4,Storaåkerns parkgata 4,Espoo,Esbo,CityBike Finland,24,24.744131,60.184596
76,653,Lukutori, Lukutorget,Lukutori,Suurpellon puistokatu 18,Storaåkerns parkgata 18,Espoo,Esbo,CityBike Finland,14,24.742571,60.187052
77,701,Gallen-Kallelan tie, Gallen-Kallelas väg,Gallen-Kallelan tie,Gallen-Kallelan tie 29,Gallen-Kallelas vägen 29,Espoo,Esbo,CityBike Finland,10,24.840699,60.206142
78,703,Elfvik,Elfvik,Elfvik,Elfvikintie 4,Elfviksvägen 4,Espoo,Esbo,CityBike Finland,10,24.8231,60.203852
79,705,Laajalahden keskus, Bredviks centrum,Laajalahden keskus,Kirvuntie 22,Kirvusvägen 22,Espoo,Esbo,CityBike Finland,19,24.80493,60.203892
80,707,Majurinkulma, Majorshörnet,Majurinkulma,Itsehallintotie 8,Självstyrelsevägen 8,Espoo,Esbo,CityBike Finland,24,24.824954,60.210735
81,709,Yhdyskunnankuja, Samhällsgränden,Yhdyskunnankuja,Yhdyskunnankuja 1,Samhällsgränden 1,Espoo,Esbo,CityBike Finland,20,24.819549,60.212508
82,711,Kirjurinkuja, Skrivargränden,Kirjurinkuja,Kirjurinkuja 1,Skrivargränden 1,Espoo,Esbo,CityBike Finland,26,24.826368,60.215751
